HEADER_TIME_STAMP,X,Y,Z
2018-06-14 11:26:21.639,-0.076,0.403,0.921
2018-06-14 11:26:21.659,-0.089,0.398,0.903
2018-06-14 11:26:21.679,-0.094,0.389,0.903
2018-06-14 11:26:21.700,-0.091,0.391,0.916
2018-06-14 11:26:21.719,-0.095,0.394,0.908
2018-06-14 11:26:21.739,-0.094,0.402,0.900
2018-06-14 11:26:21.760,-0.092,0.408,0.899
2018-06-14 11:26:21.780,-0.098,0.397,0.889
2018-06-14 11:26:21.799,-0.098,0.392,0.884
2018-06-14 11:26:21.820,-0.094,0.397,0.882
2018-06-14 11:26:21.839,-0.085,0.390,0.905
2018-06-14 11:26:21.859,-0.097,0.401,0.917
2018-06-14 11:26:21.880,-0.099,0.399,0.906
2018-06-14 11:26:21.900,-0.100,0.395,0.899
2018-06-14 11:26:21.919,-0.094,0.395,0.909
2018-06-14 11:26:21.940,-0.102,0.394,0.915
2018-06-14 11:26:21.959,-0.102,0.393,0.908
2018-06-14 11:26:21.979,-0.101,0.396,0.911
2018-06-14 11:26:22.000,-0.100,0.400,0.904
2018-06-14 11:26:22.020,-0.098,0.397,0.892
2018-06-14 11:26:22.039,-0.100,0.404,0.906
2018-06-14 11:26:22.060,-0.098,0.395,0.916
2018-06-14 11:26:22.080,-0.099,0.395,0.902
2018-06-14 11:26:22.099,-0.099,0.398,0.908
2018-06-14 11:26:22.119,-0.095,0.398,0.905
2018-06-14 11:26:22.139,-0.094,0.394,0.906
2018-06-14 11:26:22.159,-0.097,0.395,0.907
2018-06-14 11:26:22.180,-0.097,0.396,0.910
2018-06-14 11:26:22.200,-0.102,0.394,0.905
2018-06-14 11:26:22.219,-0.105,0.396,0.907
2018-06-14 11:26:22.239,-0.107,0.396,0.895
2018-06-14 11:26:22.259,-0.106,0.395,0.892
2018-06-14 11:26:22.280,-0.108,0.397,0.905
2018-06-14 11:26:22.300,-0.105,0.399,0.892
2018-06-14 11:26:22.319,-0.106,0.393,0.897
2018-06-14 11:26:22.340,-0.097,0.400,0.907
2018-06-14 11:26:22.360,-0.097,0.400,0.918
2018-06-14 11:26:22.379,-0.096,0.397,0.904
2018-06-14 11:26:22.399,-0.099,0.398,0.905
2018-06-14 11:26:22.419,-0.099,0.398,0.897
2018-06-14 11:26:22.440,-0.097,0.392,0.908
2018-06-14 11:26:22.460,-0.100,0.400,0.910
2018-06-14 11:26:22.480,-0.098,0.398,0.911
2018-06-14 11:26:22.499,-0.102,0.399,0.895
2018-06-14 11:26:22.520,-0.100,0.397,0.897
2018-06-14 11:26:22.539,-0.100,0.398,0.897
2018-06-14 11:26:22.559,-0.100,0.401,0.902
2018-06-14 11:26:22.580,-0.099,0.400,0.907
2018-06-14 11:26:22.600,-0.098,0.401,0.907
2018-06-14 11:26:22.620,-0.100,0.402,0.901
2018-06-14 11:26:22.640,-0.104,0.400,0.902
2018-06-14 11:26:22.659,-0.104,0.397,0.901
2018-06-14 11:26:22.679,-0.103,0.397,0.895
2018-06-14 11:26:22.699,-0.105,0.401,0.898
2018-06-14 11:26:22.720,-0.105,0.400,0.903
2018-06-14 11:26:22.739,-0.103,0.399,0.897
2018-06-14 11:26:22.760,-0.104,0.402,0.900
2018-06-14 11:26:22.779,-0.107,0.401,0.905
2018-06-14 11:26:22.800,-0.107,0.404,0.896
2018-06-14 11:26:22.820,-0.104,0.403,0.896
2018-06-14 11:26:22.840,-0.093,0.400,0.903
2018-06-14 11:26:22.859,-0.093,0.401,0.894
2018-06-14 11:26:22.879,-0.096,0.405,0.903
2018-06-14 11:26:22.900,-0.097,0.397,0.901
2018-06-14 11:26:22.920,-0.092,0.401,0.897
2018-06-14 11:26:22.939,-0.100,0.399,0.901
2018-06-14 11:26:22.960,-0.103,0.401,0.909
2018-06-14 11:26:22.979,-0.103,0.402,0.903
2018-06-14 11:26:23.000,-0.108,0.402,0.885
2018-06-14 11:26:23.020,-0.108,0.398,0.894
2018-06-14 11:26:23.040,-0.104,0.401,0.904
2018-06-14 11:26:23.060,-0.099,0.402,0.905
2018-06-14 11:26:23.080,-0.098,0.404,0.903
2018-06-14 11:26:23.100,-0.099,0.403,0.902
2018-06-14 11:26:23.120,-0.096,0.407,0.897
2018-06-14 11:26:23.140,-0.096,0.406,0.899
2018-06-14 11:26:23.159,-0.094,0.399,0.895
2018-06-14 11:26:23.179,-0.094,0.403,0.899
2018-06-14 11:26:23.199,-0.099,0.408,0.904
2018-06-14 11:26:23.219,-0.098,0.404,0.898
2018-06-14 11:26:23.239,-0.096,0.407,0.900
2018-06-14 11:26:23.260,-0.089,0.402,0.904
2018-06-14 11:26:23.279,-0.092,0.406,0.903
2018-06-14 11:26:23.299,-0.095,0.406,0.894
2018-06-14 11:26:23.319,-0.089,0.410,0.904
2018-06-14 11:26:23.339,-0.080,0.412,0.903
2018-06-14 11:26:23.360,-0.085,0.402,0.906
2018-06-14 11:26:23.379,-0.080,0.415,0.922
2018-06-14 11:26:23.399,-0.092,0.412,0.903
2018-06-14 11:26:23.419,-0.086,0.410,0.879
2018-06-14 11:26:23.439,-0.085,0.410,0.897
2018-06-14 11:26:23.459,-0.091,0.416,0.913
