HEADER_TIME_STAMP,X_ACCELERATION_METERS_PER_SECOND_SQUARED,Y_ACCELERATION_METERS_PER_SECOND_SQUARED,Z_ACCELERATION_METERS_PER_SECOND_SQUARED
2018-08-31 20:11:00.000,0.179,1.038,-0.1
2018-08-31 20:11:00.013,0.179,1.038,-0.1
2018-08-31 20:11:00.025,0.179,1.038,-0.091
2018-08-31 20:11:00.038,0.17,1.041,-0.094
2018-08-31 20:11:00.050,0.164,1.041,-0.091
2018-08-31 20:11:00.063,0.161,1.041,-0.094
2018-08-31 20:11:00.075,0.155,1.041,-0.1
2018-08-31 20:11:00.088,0.161,1.041,-0.103
2018-08-31 20:11:00.100,0.167,1.041,-0.094
2018-08-31 20:11:00.113,0.176,1.041,-0.094
2018-08-31 20:11:00.125,0.179,1.047,-0.1
2018-08-31 20:11:00.138,0.176,1.041,-0.091
2018-08-31 20:11:00.150,0.176,1.041,-0.094
2018-08-31 20:11:00.163,0.176,1.041,-0.091
2018-08-31 20:11:00.175,0.167,1.047,-0.091
2018-08-31 20:11:00.188,0.167,1.047,-0.094
2018-08-31 20:11:00.200,0.167,1.047,-0.1
2018-08-31 20:11:00.213,0.176,1.047,-0.1
2018-08-31 20:11:00.225,0.176,1.041,-0.1
2018-08-31 20:11:00.238,0.176,1.041,-0.094
2018-08-31 20:11:00.250,0.176,1.038,-0.094
2018-08-31 20:11:00.263,0.179,1.047,-0.091
2018-08-31 20:11:00.275,0.17,1.041,-0.091
2018-08-31 20:11:00.288,0.167,1.041,-0.091
2018-08-31 20:11:00.300,0.164,1.05,-0.088
2018-08-31 20:11:00.313,0.164,1.047,-0.094
2018-08-31 20:11:00.325,0.167,1.041,-0.094
2018-08-31 20:11:00.338,0.167,1.047,-0.1
2018-08-31 20:11:00.350,0.167,1.041,-0.1
2018-08-31 20:11:00.363,0.17,1.041,-0.103
2018-08-31 20:11:00.375,0.176,1.047,-0.1
2018-08-31 20:11:00.388,0.176,1.041,-0.091
2018-08-31 20:11:00.400,0.167,1.041,-0.088
2018-08-31 20:11:00.413,0.17,1.047,-0.088
2018-08-31 20:11:00.425,0.17,1.047,-0.091
2018-08-31 20:11:00.438,0.17,1.041,-0.1
2018-08-31 20:11:00.450,0.17,1.047,-0.1
2018-08-31 20:11:00.463,0.176,1.038,-0.103
2018-08-31 20:11:00.475,0.179,1.041,-0.1
2018-08-31 20:11:00.488,0.179,1.041,-0.1
2018-08-31 20:11:00.500,0.17,1.047,-0.088
2018-08-31 20:11:00.513,0.176,1.047,-0.085
2018-08-31 20:11:00.525,0.167,1.047,-0.088
2018-08-31 20:11:00.538,0.167,1.041,-0.085
2018-08-31 20:11:00.550,0.17,1.041,-0.088
2018-08-31 20:11:00.563,0.17,1.047,-0.094
2018-08-31 20:11:00.575,0.17,1.047,-0.103
2018-08-31 20:11:00.588,0.17,1.041,-0.1
2018-08-31 20:11:00.600,0.17,1.041,-0.1
2018-08-31 20:11:00.613,0.176,1.047,-0.1
2018-08-31 20:11:00.625,0.17,1.041,-0.088
2018-08-31 20:11:00.638,0.17,1.047,-0.091
2018-08-31 20:11:00.650,0.167,1.047,-0.088
2018-08-31 20:11:00.663,0.164,1.047,-0.091
2018-08-31 20:11:00.675,0.167,1.047,-0.1
2018-08-31 20:11:00.688,0.167,1.041,-0.1
2018-08-31 20:11:00.700,0.17,1.041,-0.1
2018-08-31 20:11:00.713,0.176,1.041,-0.094
2018-08-31 20:11:00.725,0.176,1.041,-0.094
2018-08-31 20:11:00.738,0.176,1.041,-0.094
2018-08-31 20:11:00.750,0.176,1.047,-0.094
2018-08-31 20:11:00.763,0.17,1.041,-0.094
2018-08-31 20:11:00.775,0.176,1.047,-0.091
2018-08-31 20:11:00.788,0.17,1.047,-0.088
2018-08-31 20:11:00.800,0.167,1.047,-0.091
2018-08-31 20:11:00.813,0.167,1.047,-0.094
2018-08-31 20:11:00.825,0.164,1.047,-0.1
2018-08-31 20:11:00.838,0.17,1.041,-0.103
2018-08-31 20:11:00.850,0.176,1.041,-0.1
2018-08-31 20:11:00.863,0.176,1.041,-0.094
2018-08-31 20:11:00.875,0.179,1.041,-0.094
2018-08-31 20:11:00.888,0.179,1.047,-0.094
2018-08-31 20:11:00.900,0.167,1.05,-0.091
2018-08-31 20:11:00.913,0.167,1.041,-0.088
2018-08-31 20:11:00.925,0.164,1.047,-0.091
2018-08-31 20:11:00.938,0.164,1.047,-0.091
2018-08-31 20:11:00.950,0.167,1.041,-0.094
