HEADER_TIME_STAMP,X,Y,Z
2018-06-14 12:06:44.711,-0.061,0.063,1.011
2018-06-14 12:06:44.732,-0.059,0.067,1.012
2018-06-14 12:06:44.751,-0.060,0.067,1.014
2018-06-14 12:06:44.771,-0.059,0.067,1.012
2018-06-14 12:06:44.792,-0.061,0.067,1.012
2018-06-14 12:06:44.811,-0.059,0.064,1.017
2018-06-14 12:06:44.832,-0.058,0.067,1.010
2018-06-14 12:06:44.852,-0.058,0.066,1.012
2018-06-14 12:06:44.871,-0.060,0.066,1.011
2018-06-14 12:06:44.892,-0.059,0.067,1.009
2018-06-14 12:06:44.912,-0.061,0.065,1.009
2018-06-14 12:06:44.931,-0.062,0.068,1.015
2018-06-14 12:06:44.951,-0.061,0.065,1.012
2018-06-14 12:06:44.971,-0.062,0.067,1.013
2018-06-14 12:06:44.991,-0.059,0.067,1.014
2018-06-14 12:06:45.011,-0.060,0.067,1.009
2018-06-14 12:06:45.032,-0.059,0.065,1.010
2018-06-14 12:06:45.051,-0.059,0.067,1.010
2018-06-14 12:06:45.071,-0.062,0.064,1.013
2018-06-14 12:06:45.091,-0.059,0.066,1.008
2018-06-14 12:06:45.111,-0.059,0.064,1.011
2018-06-14 12:06:45.132,-0.063,0.069,1.011
2018-06-14 12:06:45.152,-0.060,0.068,1.011
2018-06-14 12:06:45.172,-0.060,0.069,1.013
2018-06-14 12:06:45.192,-0.062,0.068,1.007
2018-06-14 12:06:45.212,-0.060,0.064,1.013
2018-06-14 12:06:45.231,-0.059,0.066,1.014
2018-06-14 12:06:45.251,-0.061,0.066,1.011
2018-06-14 12:06:45.271,-0.062,0.066,1.015
2018-06-14 12:06:45.291,-0.059,0.065,1.013
2018-06-14 12:06:45.312,-0.059,0.064,1.013
2018-06-14 12:06:45.331,-0.064,0.069,1.009
2018-06-14 12:06:45.351,-0.062,0.067,1.012
2018-06-14 12:06:45.371,-0.062,0.065,1.011
2018-06-14 12:06:45.392,-0.059,0.065,1.012
2018-06-14 12:06:45.411,-0.060,0.067,1.012
2018-06-14 12:06:45.432,-0.058,0.067,1.009
2018-06-14 12:06:45.451,-0.060,0.066,1.013
2018-06-14 12:06:45.471,-0.061,0.066,1.014
2018-06-14 12:06:45.492,-0.060,0.065,1.014
2018-06-14 12:06:45.512,-0.060,0.067,1.011
2018-06-14 12:06:45.531,-0.060,0.066,1.004
2018-06-14 12:06:45.551,-0.059,0.066,1.010
2018-06-14 12:06:45.572,-0.061,0.066,1.014
2018-06-14 12:06:45.592,-0.059,0.064,1.014
2018-06-14 12:06:45.612,-0.061,0.066,1.009
