HEADER_TIME_STAMP,START_TIME,STOP_TIME,PID,ANNOTATION_LABELS,FINEST_ACTIVITIES,MUSS_22_ACTIVITIES,MUSS_3_POSTURES,MUSS_6_ACTIVITY_GROUPS,MDCAS,RIAR_17_ACTIVITIES,SEDENTARY_AMBULATION_CYCLING,MUSS_22_ACTIVITY_ABBRS
2015-09-24 14:34:59.200,2015-09-24 14:34:59.200,2015-09-24 14:35:12.000,SPADES_1,still,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition
2015-09-24 14:35:12.000,2015-09-24 14:35:12.000,2015-09-24 14:35:24.800,SPADES_1,still,Self-selected free standing,Self-selected free standing,Upright,Standing,Upright Movement,Self-selected free standing,Others,Free-stand
2015-09-24 14:35:24.800,2015-09-24 14:35:24.800,2015-09-24 14:35:37.600,SPADES_1,jumping jacks still,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition
2015-09-24 14:35:37.600,2015-09-24 14:35:37.600,2015-09-24 14:35:50.400,SPADES_1,still,Self-selected free standing,Self-selected free standing,Upright,Standing,Upright Movement,Self-selected free standing,Others,Free-stand
2015-09-24 14:35:50.400,2015-09-24 14:35:50.400,2015-09-24 14:36:03.200,SPADES_1,still,Self-selected free standing,Self-selected free standing,Upright,Standing,Upright Movement,Self-selected free standing,Others,Free-stand
2015-09-24 14:36:03.200,2015-09-24 14:36:03.200,2015-09-24 14:36:16.000,SPADES_1,still,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition
2015-09-24 14:36:16.000,2015-09-24 14:36:16.000,2015-09-24 14:36:28.800,SPADES_1,still,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition
2015-09-24 14:36:28.800,2015-09-24 14:36:28.800,2015-09-24 14:36:41.600,SPADES_1,jumping jacks still,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition
2015-09-24 14:36:41.600,2015-09-24 14:36:41.600,2015-09-24 14:36:54.400,SPADES_1,still,Self-selected free standing,Self-selected free standing,Upright,Standing,Upright Movement,Self-selected free standing,Others,Free-stand
2015-09-24 14:36:54.400,2015-09-24 14:36:54.400,2015-09-24 14:37:07.200,SPADES_1,still,Self-selected free standing,Self-selected free standing,Upright,Standing,Upright Movement,Self-selected free standing,Others,Free-stand
2015-09-24 14:37:07.200,2015-09-24 14:37:07.200,2015-09-24 14:37:20.000,SPADES_1,still,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition
2015-09-24 14:37:20.000,2015-09-24 14:37:20.000,2015-09-24 14:37:32.800,SPADES_1,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:37:32.800,2015-09-24 14:37:32.800,2015-09-24 14:37:45.600,SPADES_1,jumping jacks still,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition
2015-09-24 14:37:45.600,2015-09-24 14:37:45.600,2015-09-24 14:37:58.400,SPADES_1,jumping jacks still,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition
2015-09-24 14:37:58.400,2015-09-24 14:37:58.400,2015-09-24 14:38:11.200,SPADES_1,still,Self-selected free standing,Self-selected free standing,Upright,Standing,Upright Movement,Self-selected free standing,Others,Free-stand
2015-09-24 14:38:11.200,2015-09-24 14:38:11.200,2015-09-24 14:38:24.000,SPADES_1,still,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition
2015-09-24 14:38:24.000,2015-09-24 14:38:24.000,2015-09-24 14:38:36.800,SPADES_1,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:38:36.800,2015-09-24 14:38:36.800,2015-09-24 14:38:49.600,SPADES_1,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:38:49.600,2015-09-24 14:38:49.600,2015-09-24 14:39:02.400,SPADES_1,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:39:02.400,2015-09-24 14:39:02.400,2015-09-24 14:39:15.200,SPADES_1,still,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition
